市町名,lat,lon
宇都宮市,36.555153,139.882504
足利市,36.340258,139.449872
栃木市,36.382549,139.733934
佐野市,36.314313,139.578433
鹿沼市,36.567084,139.745002
日光市,36.720084,139.697560
小山市,36.314622,139.800073
真岡市,36.440408,140.012240
大田原市,36.870981,140.016032
矢板市,36.806713,139.924111
那須塩原市,36.9299765,139.9281166
さくら市,36.6853533,139.9642693
那須烏山市,36.6823848,140.1268069
下野市,36.3953358,139.8519175
上三川町,36.4392243,139.9077379
益子町,36.4673611,140.0911087
茂木町,36.5320873,140.187594
市貝町,36.5430533,140.1022414
芳賀町,36.548215,140.058199
壬生町,36.426999,139.803863
野木町,36.2333262,139.7407022
塩谷町,36.777607,139.850581
高根沢町,36.6309628,139.986712
那須町,37.01977,140.121006
那珂川町,36.7497556,140.1545463
